rds_index,hourbin,ewt,count,daybin,date,rbt,speed
BX39_0_0,1,1.21,1135,1,10-21-2015,null,null
BX39_0_0,2,1.8,1315,1,10-21-2015,null,null
BX39_0_0,3,2.42,692,1,10-21-2015,null,null
BX39_0_0,4,0.88,346,1,10-21-2015,null,null
BX39_1_0,1,1.11,765,1,10-21-2015,null,null
BX39_1_0,2,2.94,1258,1,10-21-2015,null,null
BX39_1_0,3,0.9,583,1,10-21-2015,null,null
BX39_1_0,4,1.64,269,1,10-21-2015,null,null
BX39_2_0,1,1.17,1900,1,10-21-2015,null,null
BX39_2_0,2,2.36,2573,1,10-21-2015,null,null
BX39_2_0,3,1.7,1275,1,10-21-2015,null,null
BX39_2_0,4,1.3,615,1,10-21-2015,null,null
BX39_0_0,0,1.3,3630,1,10-22-2015,77.56,7.045
BX39_1_0,0,1.27,3095,1,10-22-2015,69.91,6.57
BX39_2_0,0,1.29,6725,1,10-22-2015,73.74,6.8525
BX39_0_0,1,1.4,1126,1,10-22-2015,null,null
BX39_0_0,2,1.33,1370,1,10-22-2015,null,null
BX39_0_0,3,1.6,733,1,10-22-2015,null,null
BX39_0_0,4,0.58,401,1,10-22-2015,null,null
BX39_1_0,1,1.13,796,1,10-22-2015,null,null
BX39_1_0,2,1.64,1272,1,10-22-2015,null,null
BX39_1_0,3,0.93,676,1,10-22-2015,null,null
BX39_1_0,4,0.93,351,1,10-22-2015,null,null
BX39_2_0,1,1.27,1922,1,10-22-2015,null,null
BX39_2_0,2,1.48,2642,1,10-22-2015,null,null
BX39_2_0,3,1.27,1409,1,10-22-2015,null,null
BX39_2_0,4,0.76,752,1,10-22-2015,null,null
BX39_0_0,0,1.44,3520,1,10-23-2015,80.59,6.87
BX39_1_0,0,1.6,2977,1,10-23-2015,67.17,6.34
BX39_2_0,0,1.52,6497,1,10-23-2015,73.88,6.66
BX39_0_0,1,1.08,1133,1,10-23-2015,null,null
BX39_0_0,2,1.51,1299,1,10-23-2015,null,null
BX39_0_0,3,2.06,671,1,10-23-2015,null,null
BX39_0_0,4,1.23,417,1,10-23-2015,null,null
BX39_1_0,1,0.62,750,1,10-23-2015,null,null
BX39_1_0,2,1.88,1255,1,10-23-2015,null,null
BX39_1_0,3,1.83,622,1,10-23-2015,null,null
BX39_1_0,4,1.92,350,1,10-23-2015,null,null
BX39_2_0,1,0.88,1883,1,10-23-2015,null,null
BX39_2_0,2,1.69,2554,1,10-23-2015,null,null
BX39_2_0,3,1.95,1293,1,10-23-2015,null,null
BX39_2_0,4,1.59,767,1,10-23-2015,null,null
BX39_0_0,0,1.39,2648,2,10-24-2015,66.72,7.2725
BX39_1_0,0,1.35,2376,2,10-24-2015,61.51,6.73
BX39_2_0,0,1.37,5024,2,10-24-2015,64.12,7.04
BX39_0_0,1,1.55,545,2,10-24-2015,null,null
BX39_0_0,2,0.97,1133,2,10-24-2015,null,null
BX39_0_0,3,2.31,600,2,10-24-2015,null,null
BX39_0_0,4,0.9,370,2,10-24-2015,null,null
BX39_1_0,1,1.03,556,2,10-24-2015,null,null
BX39_1_0,2,1.59,998,2,10-24-2015,null,null
BX39_1_0,3,1.76,457,2,10-24-2015,null,null
BX39_1_0,4,0.71,365,2,10-24-2015,null,null
BX39_2_0,1,1.29,1101,2,10-24-2015,null,null
BX39_2_0,2,1.26,2131,2,10-24-2015,null,null
BX39_2_0,3,2.08,1057,2,10-24-2015,null,null
BX39_2_0,4,0.8,735,2,10-24-2015,null,null
BX39_0_0,0,1.31,2079,2,10-25-2015,60.83,7.8875
BX39_1_0,0,0.83,2136,2,10-25-2015,62.3,6.91
BX39_2_0,0,1.06,4215,2,10-25-2015,61.56,7.4725
BX39_0_0,1,2.13,265,2,10-25-2015,null,null
BX39_0_0,2,1.32,936,2,10-25-2015,null,null
BX39_0_0,3,1.1,559,2,10-25-2015,null,null
BX39_0_0,4,0.82,319,2,10-25-2015,null,null
BX39_1_0,1,1.02,442,2,10-25-2015,null,null
BX39_1_0,2,0.91,870,2,10-25-2015,null,null
BX39_1_0,3,0.44,555,2,10-25-2015,null,null
BX39_1_0,4,0.93,269,2,10-25-2015,null,null
BX39_2_0,1,1.44,707,2,10-25-2015,null,null
BX39_2_0,2,1.13,1806,2,10-25-2015,null,null
BX39_2_0,3,0.78,1114,2,10-25-2015,null,null
BX39_2_0,4,0.88,588,2,10-25-2015,null,null
BX39_0_0,0,1.1,3719,1,10-26-2015,81.88,7.2125
BX39_1_0,0,1.38,2951,1,10-26-2015,84.79,6.555
BX39_2_0,0,1.23,6670,1,10-26-2015,83.34,6.945
BX39_0_0,1,1.27,1248,1,10-26-2015,null,null
BX39_0_0,2,1.11,1397,1,10-26-2015,null,null
BX39_0_0,3,1.03,660,1,10-26-2015,null,null
BX39_0_0,4,0.82,414,1,10-26-2015,null,null
BX39_1_0,1,0.68,867,1,10-26-2015,null,null
BX39_1_0,2,2.17,1170,1,10-26-2015,null,null
BX39_1_0,3,1.06,573,1,10-26-2015,null,null
BX39_1_0,4,0.79,341,1,10-26-2015,null,null
BX39_2_0,1,1.0,2115,1,10-26-2015,null,null
BX39_2_0,2,1.6,2567,1,10-26-2015,null,null
BX39_2_0,3,1.05,1233,1,10-26-2015,null,null
BX39_2_0,4,0.8,755,1,10-26-2015,null,null
BX39_0_0,0,1.15,3744,1,10-27-2015,70.45,7.375
BX39_1_0,0,1.09,3140,1,10-27-2015,73.4,6.5725
BX39_2_0,0,1.12,6884,1,10-27-2015,71.93,7.0575
BX39_0_0,1,1.34,1230,1,10-27-2015,null,null
BX39_0_0,2,1.25,1351,1,10-27-2015,null,null
BX39_0_0,3,1.08,747,1,10-27-2015,null,null
BX39_0_0,4,0.59,416,1,10-27-2015,null,null
BX39_1_0,1,1.22,906,1,10-27-2015,null,null
BX39_1_0,2,1.16,1217,1,10-27-2015,null,null
BX39_1_0,3,0.81,671,1,10-27-2015,null,null
BX39_1_0,4,1.08,346,1,10-27-2015,null,null
BX39_2_0,1,1.29,2136,1,10-27-2015,null,null
BX39_2_0,2,1.21,2568,1,10-27-2015,null,null
BX39_2_0,3,0.95,1418,1,10-27-2015,null,null
BX39_2_0,4,0.83,762,1,10-27-2015,null,null
BX39_0_0,0,1.08,3169,1,10-28-2015,80.73,7.285
BX39_1_0,0,1.17,2784,1,10-28-2015,88.3,6.665
BX39_2_0,0,1.13,5953,1,10-28-2015,84.52,7.0275
BX39_0_0,1,0.89,1091,1,10-28-2015,null,null
BX39_0_0,2,1.54,1245,1,10-28-2015,null,null
BX39_0_0,3,0.26,498,1,10-28-2015,null,null
BX39_0_0,4,0.96,335,1,10-28-2015,null,null
BX39_1_0,1,1.19,742,1,10-28-2015,null,null
BX39_1_0,2,1.53,1169,1,10-28-2015,null,null
BX39_1_0,3,0.58,595,1,10-28-2015,null,null
BX39_1_0,4,0.97,278,1,10-28-2015,null,null
BX39_2_0,1,1.02,1833,1,10-28-2015,null,null
BX39_2_0,2,1.54,2414,1,10-28-2015,null,null
BX39_2_0,3,0.44,1093,1,10-28-2015,null,null
BX39_2_0,4,0.95,613,1,10-28-2015,null,null
BX39_0_0,0,2.17,2871,1,10-29-2015,119.02,6.9175
BX39_1_0,0,1.26,2334,1,10-29-2015,132.51,6.25
BX39_2_0,0,1.76,5205,1,10-29-2015,125.77,6.6325
BX39_0_0,1,2.73,766,1,10-29-2015,null,null
BX39_0_0,2,2.05,1174,1,10-29-2015,null,null
BX39_0_0,3,2.12,613,1,10-29-2015,null,null
BX39_0_0,4,1.58,318,1,10-29-2015,null,null
BX39_1_0,1,1.21,549,1,10-29-2015,null,null
BX39_1_0,2,1.45,884,1,10-29-2015,null,null
BX39_1_0,3,1.51,593,1,10-29-2015,null,null
BX39_1_0,4,0.54,308,1,10-29-2015,null,null
BX39_2_0,1,2.12,1315,1,10-29-2015,null,null
BX39_2_0,2,1.79,2058,1,10-29-2015,null,null
BX39_2_0,3,1.82,1206,1,10-29-2015,null,null
BX39_2_0,4,1.06,626,1,10-29-2015,null,null
BX39_0_0,0,1.88,3249,1,10-30-2015,96.62,7.0025
BX39_1_0,0,1.68,2578,1,10-30-2015,80.76,6.3975
